,Date,Sales,Z-Scores
136,2019-03-18,168167.59,-0.3234249722530769
137,2019-03-02,106437.74,-0.8450001945948479
138,2019-03-20,163995.79,-0.3586738431407495
139,2019-03-21,116891.49,-0.7566731213789679
140,2019-03-22,195780.28,-0.09011653352846642
141,2019-03-23,162692.82,-0.36968305290644077
142,2019-03-24,218808.0,0.10445202899070456
143,2019-03-25,168446.84,-0.32106549979625193
144,2019-03-27,55703.01,-1.2736741356492927
145,2019-03-28,137284.36,-0.5843672482165219
147,2019-03-03,240695.98,0.289390564158249
148,2019-03-30,233727.53,0.23051190402660246
149,2019-03-31,200867.29,-0.04713476098560722
150,2019-03-04,153704.1,-0.4456316196463231
151,2019-03-06,61072.09,-1.2283090635687555
152,2019-03-07,166377.26,-0.33855204234664005
153,2019-03-08,168715.19,-0.31879812492144793
154,2019-03-09,142062.25,-0.5439973293025032
155,2019-04-01,212785.85,0.05356895985599108
156,2019-04-10,67566.87,-1.1734325925816902
157,2019-04-11,159757.93,-0.3944808760713869
158,2019-04-12,173540.83,-0.27802475100362156
159,2019-04-13,211894.89,0.04604095419750301
160,2019-04-14,218339.07,0.10048988962032342
161,2019-04-15,152294.57,-0.4575411888927638
162,2019-04-17,94842.81,-0.9429694621823647
163,2019-04-18,356164.38,1.265019962309201
164,2019-04-19,166930.94,-0.33387382315274616
165,2019-04-20,209195.55,0.023233368229352278
166,2019-04-21,213357.32,0.05839749244292678
167,2019-04-26,190702.08,-0.13302386756695814
168,2019-04-27,203875.14,-0.021720475473481417
169,2019-04-28,156945.81,-0.418241376287275
170,2019-04-03,65001.01,-1.1951123633894574
171,2019-04-04,164230.65,-0.3566894359743757
172,2019-04-05,187629.53,-0.15898482404759437
173,2019-04-06,107764.65,-0.8337887081214883
174,2019-04-07,124257.75,-0.6944332374763293
175,2019-04-08,152420.25,-0.4564792784241022
176,2019-05-01,43135.54,-1.379860704376149
177,2019-05-10,227033.57,0.1739524975911921
178,2019-05-11,213320.41,0.058085628061972726
180,2019-05-13,172145.1,-0.2898177196416317
181,2019-05-15,58829.86,-1.247254381122441
182,2019-05-16,193887.06,-0.10611295410039213
183,2019-05-17,321233.2,0.9698752636721492
184,2019-05-18,220742.5,0.12079723746958725
185,2019-05-19,210956.98,0.038116252990767985
186,2019-05-20,171568.79,-0.29468714693471254
187,2019-05-22,149352.34,-0.4824010300624837
188,2019-05-23,206522.6,0.0006487598015263918
189,2019-05-24,194573.87,-0.10030987700792308
190,2019-05-25,144751.86,-0.5212719552126157
191,2019-05-26,190482.02,-0.1348832248054502
192,2019-05-27,185557.21,-0.1764945177332797
193,2019-05-29,48387.24,-1.3354874134128263
